response_status_key,http_response_body_len_ratio
9945,0
8749,0
3918,0
13567,0
3323,0
14649,0
1871,0
10898,411.6666667
10170,411.6666667
13939,411.6666667
9654,411.6666667
11067,0
17813,0
7904,0
8287,471
1526,353.25
16207,353.25
18141,353.25
8551,0
6607,0
8096,0
1245,0
9235,313.8
15624,313.8
935,313.8
13487,313.8
2159,313.8
19116,358.8571429
13998,1802.222222
19789,1622
11882,1622
17065,1503.090909
12178,1732.333333
15176,157
7992,314
9351,910.5
18540,504.2083333
312,512.4782609
402,510.7916667
19293,510.7916667
11168,517.4615385
10216,476.7333333
19263,494.0909091
8714,496.3
2005,496.3
16185,471
1057,471
19518,0
14215,0
7521,2867
16118,2330.571429
254,2330.571429
3920,2330.571429
10351,1399.538462
68,1399.538462
20252,439.3333333
16166,329.3
11070,329.3
6433,329.3
3179,353.25
462,353.25
7894,0
2204,0
13041,0
17620,0
8947,0
9734,0
5090,0
14788,0
10780,0
8955,615.4
15179,610.4285714
4433,610.4285714
1132,610.4285714
10232,610.4285714
2686,610.4285714
18901,598
3710,1507
10662,1507
13156,1507
14704,516.7272727
16568,516.7272727
8356,447.6666667
1104,413.2307692
13594,413.2307692
11530,398.3333333
8595,416.75
15245,251.2
3006,314
3147,251.2
445,314.1428571
10431,370.9545455
13611,388.2631579
15242,444.2
19890,467.5789474
19640,445.4761905
1158,442.7368421
13529,494.5
14659,494.5
1869,157
18590,157
9582,0
297,0
7735,0
15804,69
10678,651
3298,651
14615,651
8634,651
17944,715.6666667
12682,0
11656,0
281,383.5555556
17187,375.8421053
17363,375.8421053
3169,432.4
2557,432.4
9188,432.4
5795,472.3636364
8840,753.5
17905,612.25
8894,314
19866,314
8294,314
3857,314
3636,471
7949,0
8244,0
18373,0
18185,0
6401,0
876,816.3333333
9744,816.3333333
11827,816.3333333
13063,816.3333333
19778,816.3333333
14161,730.125
13638,471.5
6606,471.5
8403,418.6666667
7184,418.6666667
7764,418.6666667
8957,313
6439,555.6666667
4532,555.6666667
2390,729
9093,614.3333333
13352,614.3333333
10814,614.3333333
14428,643.6666667
13007,643.6666667
537,471
1907,460.8333333
5366,460.8333333
334,460.8333333
4445,460.8333333
