dns_mean_TTL,dns_len_TTL,non_working_days_dns,non_working_hours_dns,dns_interlog_key
0.0,0.0,0.0,0.0,13387
0.0,0.0,0.0,0.0,14338
0.0,0.0,0.0,0.0,19240
0.0,0.0,0.0,0.0,459
0.0,0.0,0.0,0.0,13721
1652.0,2.0,0.0,0.0,4937
1652.0,2.0,0.0,0.0,829
1652.0,2.0,0.0,0.0,3083
1652.0,2.0,0.0,0.0,1076
1652.0,2.0,0.0,0.0,17839
1699.607142857143,1.8571428571428572,0.0,0.0,16401
2827.1285714285714,1.4285714285714286,0.0,0.0,4957
2827.1285714285714,1.4285714285714286,0.0,0.0,20224
2827.1285714285714,1.4285714285714286,0.0,0.0,18017
3491.2272727272725,1.1818181818181819,0.0,0.0,9125
3761.425,1.5,0.0,0.16666666666666666,16499
3761.425,1.5,0.0,0.16666666666666666,14351
3664.309523809524,1.5238095238095237,0.0,0.16666666666666666,929
3664.309523809524,1.5238095238095237,0.0,0.16666666666666666,11049
1722.0,2.0,0.0,0.0,5478
1722.0,2.0,0.0,0.0,7631
1732.0,2.0,0.0,0.0,15201
1719.125,2.0,0.0,0.0,8131
1719.125,2.0,0.0,0.0,18814
1719.125,2.0,0.0,0.0,4863
1662.5,2.0,0.0,0.0,12663
1623.75,2.0,0.0,0.0,3343
1623.75,2.0,0.0,0.0,9937
1623.75,2.0,0.0,0.0,17791
1623.75,2.0,0.0,0.0,18427
1630.75,2.0,0.0,0.0,5882
1643.1666666666667,2.0,0.0,0.0,16427
1643.1666666666667,2.0,0.0,0.0,8553
1643.1666666666667,2.0,0.0,0.0,17000
1643.1666666666667,2.0,0.0,0.0,19539
1668.0,2.0,0.0,0.0,3915
0.0,0.0,0.0,0.0,10143
0.0,0.0,0.0,0.0,16586
0.0,0.0,0.0,0.0,3569
0.0,0.0,0.0,0.0,7525
0.0,0.0,0.0,0.0,10853
1708.6666666666667,2.0,0.0,0.0,6025
1708.6666666666667,2.0,0.0,0.0,13173
1708.6666666666667,2.0,0.0,0.0,5555
1708.6666666666667,2.0,0.0,0.0,7865
1708.6666666666667,2.0,0.0,0.0,13658
