ssl_interlog_time_q1,ssl_interlog_time_q2,ssl_interlog_time_q3,ssl_interlog_time_q4,ssl_interlog_time_q5,mean_interlog_time_ssl_interlog_time,std_interlog_time_ssl_interlog_time,ssl_interlog_key,base_key
115.0,0.0,0.0,0.0,0.0,1.0430521739130434,0.0,12968,120
121.0,0.0,1.0,0.0,0.0,2.9234180327868855,0.0,7974,121
121.0,0.0,1.0,0.0,0.0,2.9234180327868855,0.0,3706,122
121.0,0.0,1.0,0.0,0.0,2.9234180327868855,0.0,7555,123
79.0,0.0,1.0,0.0,0.0,4.4647125,0.0,6961,124
81.0,0.0,2.0,0.0,0.0,8.330867469879518,0.0,2954,125
76.0,0.0,1.0,0.0,0.0,5.90964935064935,0.0,12856,126
163.0,1.0,1.0,0.0,0.0,4.563793939393939,0.0,9437,127
163.0,1.0,1.0,0.0,0.0,4.563793939393939,0.0,2199,128
163.0,1.0,1.0,0.0,0.0,4.563793939393939,0.0,10171,129
165.0,2.0,1.0,0.0,0.0,5.02927380952381,0.0,2614,130
97.0,2.0,0.0,0.0,0.0,4.619959595959596,0.0,12496,131
95.0,2.0,0.0,0.0,0.0,4.711350515463916,0.0,19425,132
8.0,1.0,0.0,0.0,0.0,17.66866666666667,0.0,8688,133
3.0,0.0,0.0,0.0,0.0,2.4296666666666664,0.0,58,134
8.0,0.0,0.0,0.0,0.0,5.863625,0.0,2716,135
8.0,0.0,0.0,0.0,0.0,5.863625,0.0,15737,136
8.0,0.0,0.0,0.0,0.0,5.863625,0.0,4293,137
16.0,1.0,0.0,0.0,0.0,15.085470588235296,0.0,4031,138
8.0,1.0,0.0,0.0,0.0,23.282666666666664,0.0,9520,139
8.0,1.0,0.0,0.0,0.0,23.282666666666664,0.0,9947,140
15.0,2.0,0.0,0.0,0.0,28.934117647058823,0.0,6840,141
44.0,2.0,0.0,0.0,0.0,12.137000000000002,0.0,3496,142
53.0,1.0,0.0,0.0,0.0,9.149722222222223,0.0,465,143
53.0,1.0,0.0,0.0,0.0,9.149722222222223,0.0,976,144
46.0,0.0,0.0,0.0,0.0,4.603239130434783,0.0,4127,145
27.0,0.0,0.0,0.0,0.0,5.541222222222223,0.0,15511,146
12.0,0.0,0.0,0.0,0.0,2.6359166666666667,0.0,19542,147
